Date,DataSet,Description,Department,CostCentre,State,UOM,Quantity,Source,NGAFuel,ReportingCategory
1/1/2023,Actual,Grid electricity,Administration,Crushing - Fixed,QLD,kWh,929425.0,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Grid electricity,Administration,Management Services,QLD,kWh,210404.69,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Grid electricity,Administration,Nolans South Crusher,QLD,kWh,2849978.67,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Grid electricity,Administration,Operations Administration,QLD,kWh,14190.49,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Grid electricity,Administration,Rehabilitation,QLD,kWh,27162.43,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Grid electricity,Administration,Tailings Disposal,QLD,kWh,319558.23,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,Acetylene gas,Mining,Projects and Work Orders,QLD,m3,21.0,100192,Gaseous fossil fuels other than those mentioned in the items above,
1/1/2023,Actual,BRW Beneficiated Ore - HG,Mining,ROM,QLD,t,376437.64,Mined 2 Milled Recon.xlsx,,
1/1/2023,Actual,BRW Non-Beneficiated Ore - HG,Mining,ROM,QLD,t,221143.71,Mined 2 Milled Recon.xlsx,,
1/1/2023,Actual,Diesel - Stationary,Mining,Blasting,QLD,kL,3.45,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Crushing - Fixed,QLD,kL,16.59,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Crushing - Supplemental,QLD,kL,69.53,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Drilling - Production,QLD,kL,128.75,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Exploration and Development,QLD,kL,4.87,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Geotechnical,QLD,kL,15.07,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Grade Control,QLD,kL,22.54,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Hauling,QLD,kL,1032.89,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Light Vehicles,QLD,kL,32.36,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Loading,QLD,kL,394.34,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Mobile Equipment,QLD,kL,43.27,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Operations Administration,QLD,kL,0.61,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Projects and Work Orders,QLD,kL,86.29,103206,Diesel oil,
1/1/2023,Actual,Diesel - Stationary,Mining,Rehandling,QLD,kL,149.34,103206,Diesel oil,
1/1/2023,Actual,Engine oil,Mining,Projects and Work Orders,QLD,kL,8.02,"102911, 124779","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/1/2023,Actual,Gear oil,Mining,Projects and Work Orders,QLD,kL,7.23,"100330, 100379, 101605, 101607, 127921, 128162","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/1/2023,Actual,Hydraulic oil,Mining,Projects and Work Orders,QLD,kL,9.42,"103552, 122716, 122929, 125456, 126696, 127922","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/1/2023,Actual,LPG - Cylinders,Mining,Projects and Work Orders,QLD,kL,0.07,103071,Liquefied petroleum gas (LPG),
1/1/2023,Actual,Petroleum grease,Mining,Projects and Work Orders,QLD,kL,4.53,"100004, 101472, 101578, 101580, 101581, 103568, 104142, 122449, 123620, 133120, 900351",Petroleum based greases,
1/1/2023,Actual,Soda ash,Mining,Projects and Work Orders,QLD,kg,50.0,101492,,
1/1/2023,Actual,Gold Recovered oz,Processing,,QLD,oz,14750.0,PhysicalsActual.xlsx,,
1/1/2023,Actual,Grid electricity,Processing,Milling,QLD,kWh,5494458.49,CS Energy Invoice,Grid electricity,
1/1/2023,Actual,LPG - Bulk liquid,Processing,Gold Room,QLD,kL,25.84,103570,Liquefied petroleum gas (LPG),
1/1/2023,Actual,Milled Tonnes,Processing,,QLD,units,394370.0,PhysicalsActual.xlsx,,
1/1/2023,Actual,Site electricity,Processing,Milling,QLD,kWh,2031726.0,CS Energy Invoice,,
1/1/2023,Actual,Gold Produced,Sales,,QLD,units,16795.0,PhysicalsActual.xlsx,,
1/1/2023,Actual,Gold Sold,Sales,,QLD,units,16795.0,PhysicalsActual.xlsx,,
1/1/2023,Actual,Diesel - Power generation,Utilities,Site Power Generation,QLD,kL,83.58,103206,Diesel oil,
1/2/2023,Actual,Grid electricity,Administration,Management Services,QLD,kWh,128231.28,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,Grid electricity,Administration,Nolans South Crusher,QLD,kWh,926769.97,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,Grid electricity,Administration,Operations Administration,QLD,kWh,7267.18,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,Grid electricity,Administration,Rehabilitation,QLD,kWh,16555.7,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,Grid electricity,Administration,Tailings Disposal,QLD,kWh,194862.43,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,Acetylene gas,Mining,Projects and Work Orders,QLD,m3,61.8,"100192, 100701, 102260",Gaseous fossil fuels other than those mentioned in the items above,
1/2/2023,Actual,BRW Beneficiated Ore - HG,Mining,ROM,QLD,t,232520.22,Mined 2 Milled Recon.xlsx,,
1/2/2023,Actual,BRW Non-Beneficiated Ore - HG,Mining,ROM,QLD,t,68443.74,Mined 2 Milled Recon.xlsx,,
1/2/2023,Actual,Diesel - Stationary,Mining,Blasting,QLD,kL,3.61,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Crushing - Fixed,QLD,kL,19.97,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Crushing - Supplemental,QLD,kL,216.24,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Drilling - Production,QLD,kL,102.81,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Exploration and Development,QLD,kL,17.56,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Geotechnical,QLD,kL,21.64,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Grade Control,QLD,kL,31.69,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Hauling,QLD,kL,868.87,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Light Vehicles,QLD,kL,43.25,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Loading,QLD,kL,355.92,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Mobile Equipment,QLD,kL,100.05,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Operations Administration,QLD,kL,1.89,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Projects and Work Orders,QLD,kL,53.7,103206,Diesel oil,
1/2/2023,Actual,Diesel - Stationary,Mining,Rehandling,QLD,kL,156.4,103206,Diesel oil,
1/2/2023,Actual,Engine oil,Mining,Projects and Work Orders,QLD,kL,12.0,124779,"Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/2/2023,Actual,Gear oil,Mining,Projects and Work Orders,QLD,kL,9.08,"100087, 101308, 103652, 120270, 124995, 127921, 136048","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/2/2023,Actual,Hydraulic oil,Mining,Projects and Work Orders,QLD,kL,11.0,"122926, 122929, 125456, 126696","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/2/2023,Actual,LPG - Cylinders,Mining,Projects and Work Orders,QLD,kL,0.25,"103071, 121352",Liquefied petroleum gas (LPG),
1/2/2023,Actual,Petroleum grease,Mining,Projects and Work Orders,QLD,kL,1.07,"100004, 101472, 101578, 101580, 103568, 104142, 123620",Petroleum based greases,
1/2/2023,Actual,Soda ash,Mining,Projects and Work Orders,QLD,kg,75.0,101492,,
1/2/2023,Actual,Gold Recovered oz,Processing,,QLD,oz,14325.0,PhysicalsActual.xlsx,,
1/2/2023,Actual,Grid electricity,Processing,Milling,QLD,kWh,6740417.44,CS Energy Invoice,Grid electricity,
1/2/2023,Actual,LPG - Bulk liquid,Processing,Gold Room,QLD,kL,34.69,103570,Liquefied petroleum gas (LPG),
1/2/2023,Actual,Milled Tonnes,Processing,,QLD,units,491735.0,PhysicalsActual.xlsx,,
1/2/2023,Actual,Site electricity,Processing,Milling,QLD,kWh,6465791.0,CS Energy Invoice,,
1/2/2023,Actual,Gold Produced,Sales,,QLD,units,14646.0,PhysicalsActual.xlsx,,
1/2/2023,Actual,Gold Sold,Sales,,QLD,units,14646.0,PhysicalsActual.xlsx,,
1/2/2023,Actual,Diesel - Power generation,Utilities,Site Power Generation,QLD,kL,1640.61,103206,Diesel oil,
1/3/2023,Actual,Grid electricity,Administration,Crushing - Fixed,QLD,kWh,551356.11,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,Grid electricity,Administration,Management Services,QLD,kWh,113616.94,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,Grid electricity,Administration,Nolans South Crusher,QLD,kWh,827038.24,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,Grid electricity,Administration,Operations Administration,QLD,kWh,12051.47,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,Grid electricity,Administration,Tailings Disposal,QLD,kWh,47424.78,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,Acetylene gas,Mining,Projects and Work Orders,QLD,m3,73.2,"100192, 100701, 102260",Gaseous fossil fuels other than those mentioned in the items above,
1/3/2023,Actual,BRW Beneficiated Ore - HG,Mining,ROM,QLD,t,357977.1,Mined 2 Milled Recon.xlsx,,
1/3/2023,Actual,BRW Non-Beneficiated Ore - HG,Mining,ROM,QLD,t,185642.06,Mined 2 Milled Recon.xlsx,,
1/3/2023,Actual,Diesel - Stationary,Mining,Blasting,QLD,kL,6.57,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Crushing - Fixed,QLD,kL,33.34,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Crushing - Supplemental,QLD,kL,94.37,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Drilling - Production,QLD,kL,145.64,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Exploration and Development,QLD,kL,16.77,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Geotechnical,QLD,kL,28.69,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Grade Control,QLD,kL,39.67,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Hauling,QLD,kL,610.37,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Light Vehicles,QLD,kL,52.29,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Loading,QLD,kL,362.66,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Mobile Equipment,QLD,kL,328.34,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Operations Administration,QLD,kL,0.69,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Projects and Work Orders,QLD,kL,244.93,103206,Diesel oil,
1/3/2023,Actual,Diesel - Stationary,Mining,Rehandling,QLD,kL,221.81,103206,Diesel oil,
1/3/2023,Actual,Engine oil,Mining,Projects and Work Orders,QLD,kL,11.0,124779,"Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/3/2023,Actual,Gear oil,Mining,Projects and Work Orders,QLD,kL,9.56,"100330, 101307, 101308, 101605, 101607, 101608, 120270, 127921, 128162","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/3/2023,Actual,Hydraulic oil,Mining,Projects and Work Orders,QLD,kL,20.42,"101609, 103552, 122926, 122929, 124972, 125456, 126696","Petroleum based oils (other than petroleum based oil used as fuel), e.g. lubricants",
1/3/2023,Actual,LPG - Cylinders,Mining,Projects and Work Orders,QLD,kL,0.16,"103071, 121352",Liquefied petroleum gas (LPG),
1/3/2023,Actual,Petroleum grease,Mining,Projects and Work Orders,QLD,kL,0.9,"100004, 101472, 101578, 101580, 101581, 102910, 104141, 104142, 123620",Petroleum based greases,
1/3/2023,Actual,Soda ash,Mining,Projects and Work Orders,QLD,kg,25.0,101492,,
1/3/2023,Actual,Gold Recovered oz,Processing,,QLD,oz,13833.0,PhysicalsActual.xlsx,,
1/3/2023,Actual,Grid electricity,Processing,Milling,QLD,kWh,7519886.46,CS Energy Invoice,Grid electricity,
1/3/2023,Actual,LPG - Bulk liquid,Processing,Gold Room,QLD,kL,34.69,103570,Liquefied petroleum gas (LPG),
1/3/2023,Actual,Milled Tonnes,Processing,,QLD,units,509953.0,PhysicalsActual.xlsx,,
1/3/2023,Actual,Site electricity,Processing,Milling,QLD,kWh,7107774.0,CS Energy Invoice,,
1/3/2023,Actual,Gold Produced,Sales,,QLD,units,11705.0,PhysicalsActual.xlsx,,
1/3/2023,Actual,Gold Sold,Sales,,QLD,units,11705.0,PhysicalsActual.xlsx,,
